166	1813	255	10624dd	0	0	0	0	0	0	0	
167	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
168	61	213	0	0	da740e	1afc4	0	0	0	0	
169	3574	255	0	0	140eac2	0	0	0	0	0	
170	61	255	0	0	3453ad	fffe503c	0	0	0	0	
171	655	0	ff724cf0	ffff79dc	ff258bf2	ffff36a4	0	0	0	0	
172	655	0	fe247a8f	8624	fd3beb21	c95c	0	0	0	0	
173	2437	255	ff6553af	0	f8d26c	0	0	0	0	0	
174	137	0	fdc34c4b	fffdd137	0	0	0	0	0	0	
175	188	0	fc99dd5c	1d0fc	0	0	0	0	0	0	
176	3863	255	ff8ad808	0	fed2d59f	0	0	0	0	0	
177	3863	255	ff8ad808	0	12d2a61	0	0	0	0	0	
178	723	0	da740e	c6ec	ff8dcef9	ffff934b	0	0	0	0	
179	723	0	30bab8c	ffff3914	fe51c8b7	6cb5	0	0	0	0	
180	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
181	1685	255	febf153e	0	0	0	0	0	0	0	
182	873	0	fe6f8092	ffff1c7c	ff12c779	ffff8464	0	0	0	0	
183	1081	0	fb67c54d	e2de	fd7e6b9e	7c32	0	0	0	0	
184	62	219	344e44	0	da740e	180aa	0	0	0	0	
185	3684	255	4f00ef	0	13761d9	0	0	0	0	0	
186	62	255	4a8e6a	0	2f1fc8	fffe7f56	0	0	0	0	
187	62	219	344e44	0	ff258bf2	fffe7f56	0	0	0	0	
188	3684	255	4f00ef	0	fec89e27	0	0	0	0	0	
189	62	255	4a8e6a	0	ffd0e038	180aa	0	0	0	0	
190	62	219	344e44	0	da740e	180aa	0	0	0	0	
191	3684	255	4f00ef	0	13761d9	0	0	0	0	0	
192	62	255	4a8e6a	0	2f1fc8	fffe7f56	0	0	0	0	
193	62	219	344e44	0	ff258bf2	fffe7f56	0	0	0	0	
194	3684	255	4f00ef	0	fec89e27	0	0	0	0	0	
195	62	255	4a8e6a	0	ffd0e038	180aa	0	0	0	0	
196	2595	0	ff258bf2	ffff6eea	39ac02	21a3	0	0	0	0	
197	2595	0	f9673d92	9116	18d06b8	ffffde5d	0	0	0	0	
198	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
199	3574	255	0	0	febf153e	0	0	0	0	0	
200	61	255	0	0	ffcbac53	1afc4	0	0	0	0	
201	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
202	1481	255	febf153e	0	0	0	0	0	0	0	
203	674	255	ff0c9afc	0	615b9b	0	0	0	0	0	
204	313	255	ff2e48e9	0	9d4952	0	0	0	0	0	
205	476	255	ff98bc86	0	f0f2c7	0	0	0	0	0	
206	625	255	0	0	10624dd	0	0	0	0	0	
207	476	255	67437a	0	f0f2c7	0	0	0	0	0	
208	313	255	d1b717	0	9d4952	0	0	0	0	0	
209	674	255	f36504	0	615b9b	0	0	0	0	0	
210	1813	255	10624dd	0	0	0	0	0	0	0	
211	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
212	1026	0	ff258bf2	ffff4e1c	ff8b14d1	ffff9f73	0	0	0	0	
213	1026	0	fc6c9b85	b1e4	fe0d8662	608d	0	0	0	0	
214	61	213	0	0	da740e	1afc4	0	0	0	0	
215	3574	255	0	0	140eac2	0	0	0	0	0	
216	61	255	0	0	3453ad	fffe503c	0	0	0	0	
217	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
218	1992	255	febf153e	0	0	0	0	0	0	0	
219	1026	0	ffdba9c0	ffffd21b	ff258bf2	ffff4e1c	0	0	0	0	
220	1026	0	ff110779	2de5	fc6c9b85	b1e4	0	0	0	0	
221	61	213	0	0	da740e	1afc4	0	0	0	0	
222	3574	255	0	0	140eac2	0	0	0	0	0	
223	61	255	0	0	3453ad	fffe503c	0	0	0	0	
224	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
225	2043	255	febf153e	0	0	0	0	0	0	0	
226	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
227	3261	0	da740e	8b48	9b1ca2	6307	0	0	0	0	
228	3106	0	7c872dc	ffff7520	58c0126	ffff9d86	0	0	0	0	
229	3375	255	10624dd	0	0	0	0	0	0	0	
230	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
231	61	213	0	0	da740e	1afc4	0	0	0	0	
232	4493	255	0	0	140eac2	0	0	0	0	0	
233	61	255	0	0	3453ad	fffe503c	0	0	0	0	
234	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
235	2757	255	febf153e	0	0	0	0	0	0	0	
236	61	255	ffcbac53	1afc4	0	0	0	0	0	0	
237	832	0	da740e	c13e	ff1defe5	ffff613f	0	0	0	0	
238	832	0	3619ae6	ffff3ec2	fd2d210c	9ec1	0	0	0	0	
239	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
240	1634	255	febf153e	0	0	0	0	0	0	0	
241	280	0	fd44f308	fffe4cdf	ff4d84dc	ffff8e8a	0	0	0	0	
242	730	0	fb6957bf	14fb6	febda4c8	54cd	0	0	0	0	
243	61	213	0	0	da740e	1afc4	0	0	0	0	
244	2962	255	0	0	140eac2	0	0	0	0	0	
245	61	255	0	0	3453ad	fffe503c	0	0	0	0	
246	837	0	0	0	ff258bf2	ffff41f4	0	0	0	0	
247	337	0	0	0	fcb8a466	a543	0	0	0	0	
248	1150	255	ff46a2de	0	ff46a2de	0	0	0	0	0	
249	560	255	ff158802	0	ff8ac401	0	0	0	0	0	
250	813	255	fef9db23	0	0	0	0	0	0	0	
251	560	255	ff158802	0	753bff	0	0	0	0	0	
252	871	255	ffa1e552	0	f4abc3	0	0	0	0	0	
253	2563	255	0	0	10624dd	0	0	0	0	0	
254	69	255	0	0	10624dd	ffff5bf5	0	0	0	0	
255	1099	0	ff258bf2	ffff4f94	ff70c025	ffff9a83	0	0	0	0	
256	1099	0	fc30cd58	b06c	fdc3123d	657d	0	0	0	0	
257	753	255	c3edca	0	ff51d74c	0	0	0	0	0	
258	560	255	ea77fe	0	ff8ac401	0	0	0	0	0	
259	813	255	10624dd	0	0	0	0	0	0	0	
260	560	255	ea77fe	0	753bff	0	0	0	0	0	
261	753	255	c3edca	0	ae28b4	0	0	0	0	0	
262	851	255	4d17c4	0	fa8d3e	0	0	0	0	0	
263	500	255	0	0	10624dd	0	0	0	0	0	
264	851	255	ffb2e83c	0	fa8d3e	0	0	0	0	0	
265	796	255	ff46a2de	0	b95d22	0	0	0	0	0	
266	560	255	ff158802	0	753bff	0	0	0	0	0	
267	813	255	fef9db23	0	0	0	0	0	0	0	
268	560	255	ff158802	0	ff8ac401	0	0	0	0	0	
269	796	255	ff46a2de	0	ff46a2de	0	0	0	0	0	
270	338	0	fd91bac3	fffe83e3	fd9ef826	fffe7e79	0	0	0	0	
271	708	0	fb9c2ae4	14764	fb9cf009	1399c	0	0	0	0	
272	513	255	11ff5d8	0	7ffb7d	0	0	0	0	0	
273	708	255	b95d22	0	b95d22	0	0	0	0	0	
274	871	255	5e1aae	0	f4abc3	0	0	0	0	0	
275	500	255	0	0	10624dd	0	0	0	0	0	
276	871	255	ffa1e552	0	f4abc3	0	0	0	0	0	
277	753	255	ff51d74c	0	c3edca	0	0	0	0	0	
278	616	255	ff107325	0	6a777e	0	0	0	0	0	
279	750	255	fef9db23	0	0	0	0	0	0	0	
280	616	255	ff107325	0	ff958882	0	0	0	0	0	
281	753	255	ff51d74c	0	ff3c1236	0	0	0	0	0	
282	851	255	ffb2e83c	0	ff0572c2	0	0	0	0	0	
283	500	255	0	0	fef9db23	0	0	0	0	0	
284	851	255	4d17c4	0	ff0572c2	0	0	0	0	0	
285	708	255	b95d22	0	ff46a2de	0	0	0	0	0	
286	616	255	ef8cdb	0	ff958882	0	0	0	0	0	
